BC,OriginalName,UpdatedName
25,Puccinia_striiformis_var_tritici,Puccinia_striiformis_var_tritici
26,Puccinia_triticina,Puccinia_recondita
27,Puccinia_graminis,Puccinia_graminis
28,Austropuccinia_psidii,Austropuccinia_psidii
29,Leptosphaeria_maculans,Leptosphaeria_maculans
30,Sclerotinia_sclerotiorum,Sclerotinia_sclerotiorum
31,Botrytis_cinerea,Botrytis_cinerea
32,Botrytis_fabae,Botrytis_fabae
33,Zymoseptoria_tritici,Zymoseptoria_tritici
34,Sporisorium_scitamineum,Sporisorium_scitamineum
35,Erysiphe_necator,Erysiphe_necator
36,Austropuccinia_psidii_2,Austropuccinia_psidii_2
37,Pyrenophora_tritici-repentis,Pyrenophora_tritici-repentis
38,Cryptovalsa_ampelina,Cryptovalsa_ampelina
39,Eutypa_lata,Eutypa_lata
40,Diplodia_seriata,Diplodia_seriata
41,Fusarium_pseudograminearum,Fusarium_pseudograminearum
42,Aspergillus_flavum,Aspergillus_flavus
43,Aspergillus_fumigatus,Aspergillus_fumigatus
44,Aspergillus_niger,Aspergillus_niger
45,Blastobotrys_adeninivorans,Blastobotrys_adeninivorans
46,Blastobotrys_proliferans,Blastobotrys_proliferans
47,Candida_albicans,Candida_albicans
48,candida_boletica,Candida_boleticola
49,Candida_caryicola,Candida_caryicola
50,Candida_catenulata,Diutina_catenulata
51,Candida_dublinsiensis,Candida_dubliniensis
52,Candida_glabrata,Nakaseomyces_glabratus
53,Candida_metapsilosis,Candida_metapsilosis
54,Candida_orthopsilosis,Candida_orthopsilosis
55,Candida_parapsilosis,Candida_parapsilosis
56,Candida_tropicalis,Candida_tropicalis
57,Candid_zeylanoides,Candida_zeylanoides
58,Cryptococcus_albidus,Naganishia_albida
59,Cryptococcus_gattil_VG_I,Cryptococcus_gattii_VG_I
60,Cryptococcus_gattii_VG_III,Cryptococcus_gattii_VG_III
61,Cryptococcus_neoformans_VNI,Cryptococcus_neoformans_VNI
62,Cryptococcus_neoformans_VN_IIII,Cryptococcus_neoformans_VN_IIII
63,Fusarium_proliferatum,Fusarium_proliferatum
64,Galactomyces_geotrichum,Geotrichum_candidum
65,Geotrichum_candidum,Geotrichum_candidum
66,Kluyveromyces_lactis,Kluyveromyces_lactis
67,Kluyveromyces_marxianus,Kluyveromyces_marxianus
68,Kodamaea_ohmeri,Kodamaea_ohmeri
69,Meyerozyma_guillermondii,Meyerozyma_guilliermondii
70,Nakazawaea_ernobil,Nakazawaea_ernobii
71,Penicillium_chrysogenum,Penicillium_chrysogenum
72,Pichia_kudriavzevii,Pichia_kudriavzevii
73,Pichia_membranifacien,Pichia_membranifaciens
74,Rhodotorula_mucilaginosa,Rhodotorula_mucilaginosa
75,Scedosporium_auranticum,Scedosporium_aurantiacum
76,Scedosporium_boydii,Scedosporium_boydii
77,Trichomonascus_ciferrii,Trichomonascus_ciferrii
78,Trichosporon_asahil,Trichosporon_asahii
79,Wickerhamomyces_anomalus,Wickerhamomyces_anomalus
80,Yamadazyma_mexicana,Yamadazyma_mexicana
81,Yamadazyma_scolyti,Yamadazyma_scolyti
82,Yarrowia_lipolytica,Yarrowia_lipolytica
83,Diaporthe_sp_CCL067,Diaporthe_sp_CCL067
84,Quambalaria_cyanescens_CCL055,Quambalaria_cyanescens_CCL055
85,Entoleuca_sp_CCL052,Entoleuca_sp_CCL052
86,Cortinarius_globuliformis_CM4,Cortinarius_globuliformis_CM4
87,Asteroma_sp_CCL068,Asteroma_sp_CCL068
88,Asteroma_sp_CCL060,Asteroma_sp_CCL060
89,Tuber_brumale,Tuber_brumale
90,Negative_control,Negative_control
